Karmn,Name,RA_J2000,DE_J2000,Ref01,muRA_masa-1,muDE_masa-1,Ref07,pi_mas,Ref08,Vr_kms-1,Ref10,BP_mag,Ref25,RP_mag,Ref32,Gaia_id
J00012+139N,BD+13 5195A,00:01:13.20,+13:58:30.3,DR3,15.608283469241,150.049904098327,DR3,27.3405538690473,DR3,-6.073,DR3,10.7009,DR3,8.9674,PS1,2767387380324493184
J00012+139S,BD+13 5195B,00:01:12.86,+13:58:19.6,DR3,26.5517027132401,149.687732186206,DR3,27.7117980522648,DR3,-10.255,DR3,11.3448,DR3,9.5165,SDSS9,2767384425386994048
J00026+383,PM J00026+3821A,00:02:40.09,+38:21:44.5,DR3,-70.9733411128075,-23.8200944403282,DR3,24.6217725213519,DR3,1.358,DR3,14.5023,DR3,11.6667,UCAC4,2880923878720791680
J00033+046,StKM 1-2199,00:03:19.00,+04:41:13.0,DR3,-25.6326637522079,-84.2113515606978,DR3,34.8788325675303,DR3,-6.005,DR3,12.2657,DR3,10.1249,UCAC4,2741901697224268928
J00051+457,BD+44 4548,00:05:10.89,+45:47:11.6,DR3,870.732500826812,-151.39249628597,DR3,86.9298529460801,DR3,-0.792,DR3,10.1752,DR3,8.0469,PS1,386655019234959872
J00056+458,HD 38B,00:05:41.00,+45:48:37.4,DR3,846.013210184346,-148.909214339426,DR3,86.8206061494087,DR3,-2.239,DR3,9.2227,DR3,7.3525,PS1,386653747925624576
J00067-075,GJ 1002,00:06:43.20,-07:32:17.0,DR3,-811.565956255619,-1893.25084665481,DR3,206.350039205733,DR3,-40.458,DR3,14.0724,DR3,10.3975,UCAC4,2441630500517079808
J00077+603,G 217-32A,00:07:42.59,+60:22:54.0,DR3,321.574976946379,-3.13100449594332,DR3,65.0041631200313,DR3,1.529,DR3,13.6442,DR3,10.695,UCAC4,429297924157113856
J00078+676,2MASS J00075079+6736255,00:07:50.81,+67:36:25.4,DR3,-55.8860364365776,-91.0554812907226,DR3,39.6540636780675,DR3,,,12.1145,DR3,9.8047,UCAC4,528913132171021568
J00079+080,LP 524-065,00:07:59.12,+08:00:19.5,DR3,-352.881580434041,-414.054231900965,DR3,36.8011617742347,DR3,-27.328,DR3,13.3251,DR3,10.8634,UCAC4,2751999130977261184
J00081+479,1RXS J000806.3+475659,00:08:06.42,+47:57:02.4,DR3,-124.055651229094,4.36168922821953,DR3,53.623183787846,DR3,-15.5,Z21,12.9891,DR3,10.1998,UCAC4,393155984814848128
J00084+174,MCC 351,00:08:27.28,+17:25:27.5,DR3,-92.7745392280138,-66.0231171919709,DR3,45.9904805907915,DR3,12.059,DR3,11.0128,DR3,9.0547,UCAC4,2772804845911842944
J00088+208,LP 404-33,00:08:53.92,+20:50:25.6,DR3,-48.635486189385,-260.192824740356,DR2,55.2555486195259,DR2,22.591,DR3,13.7414,DR3,10.6972,SDSS9,2798766647610195456
J00110+052,G 31-29,00:11:04.62,+05:12:32.3,DR3,257.22093552812,65.817836989249,DR3,26.9698864954918,DR3,-12.12,DR3,11.7774,DR3,9.8202,UCAC4,2742160563492816128
J00115+591,LSR J0011+5908,00:11:31.82,+59:08:39.9,DR3,-905.721767415434,-1166.82631061098,DR3,107.38727063119,DR3,-45.318,Ter15,15.9015,DR3,12.0799,PS1,423027104407576576
J00118+229,LP 348-040,00:11:53.03,+22:59:04.6,DR3,119.498542758784,-212.389669090472,DR3,48.831206814381,DR3,-42.633,DR3,13.2542,DR3,10.5545,UCAC4,2848646203058386560
J00119+330,G 130-053,00:11:56.44,+33:03:17.0,DR3,-556.615710125363,-396.516601849074,DR3,47.7511182829085,DR3,-4.982,DR3,13.2669,DR3,10.6515,UCAC4,2875557677861519744
J00122+304,1RXS J001213.6+302906,00:12:13.42,+30:28:44.2,DR3,58.004552945418,-21.8628702275009,DR3,13.3709407328484,DR3,-2.1,DR3,15.0883,DR3,12.0975,UCAC4,2861514577912158848
J00131+703,TYC 4298-613-1,00:13:11.55,+70:23:52.6,DR3,43.2426564587337,139.149795322088,DR3,31.5328908223925,DR3,-56.905,DR3,11.3959,DR3,9.4717,UCAC4,531152287604812672
J00132+693,G 241-76A,00:13:15.78,+69:19:36.8,DR3,734.299664926751,-274.918020019558,DR3,48.7306518892814,DR3,10.2,PMSU,12.7675,DR3,10.2176,UCAC4,530438704553073280
J00133+275,2MASS J00131951+2733310,00:13:19.52,+27:33:31.0,DR3,24.1118819063576,-114.109161785955,DR3,24.1856674445495,DR3,-1.284,DR3,15.3398,DR3,12.2813,UCAC4,2856814406221740032
J00136+806,G 242-048,00:13:38.71,+80:39:56.8,DR3,250.614770240035,184.890165704893,DR3,51.9777149142564,DR3,-15.912,DR3,11.3505,DR3,9.1639,UCAC4,565169459378433152
